,market_tms,btc_price,mkt_cap,total_volumes
1870,2021-08-02 01:01:26.802,39572.22353461796,742957930565.4803,742957930565.4803
1869,2021-08-02 00:02:18.542,39985.182122826904,750667180866.9154,750667180866.9154
1868,2021-08-01 23:01:49.419,40302.12954489946,756616297895.3036,756616297895.3036
1867,2021-08-01 22:00:14.482,41153.104588599555,772884844753.3884,772884844753.3884
1866,2021-08-01 21:01:58.616,41312.443252519806,775187307155.7474,775187307155.7474
1865,2021-08-01 20:01:11.141,41363.40322644839,776536595012.9869,776536595012.9869
1864,2021-08-01 19:00:12.161,41241.874937827066,774994081024.7645,774994081024.7645
1863,2021-08-01 18:01:02.381,41032.68364380885,769891069442.0265,769891069442.0265
1862,2021-08-01 17:00:07.275,40998.70503508112,767629655790.784,767629655790.784
1861,2021-08-01 16:01:14.204,41301.029455745,777596380932.0,777596380932.0
1860,2021-08-01 15:00:27.047,41344.542041060544,775566810983.5851,775566810983.5851
1859,2021-08-01 14:00:51.194,41456.58480562646,778289948256.5059,778289948256.5059
1858,2021-08-01 13:02:03.216,41666.57461151578,782956093221.759,782956093221.759
1857,2021-08-01 12:01:55.824,41596.8466454388,780905921444.1517,780905921444.1517
1856,2021-08-01 11:01:09.536,41621.04906685277,782463499024.5885,782463499024.5885
1855,2021-08-01 10:00:10.817,41898.93946978389,786655139708.1243,786655139708.1243
1854,2021-08-01 09:00:21.353,41738.95781388478,783507901730.5157,783507901730.5157
1853,2021-08-01 08:04:11.376,41750.83698219433,783792458932.237,783792458932.237
1852,2021-08-01 07:00:09.214,41746.56854989282,783430425880.8484,783430425880.8484
1851,2021-08-01 06:00:11.717,41880.684031935154,786883891183.2892,786883891183.2892
1850,2021-08-01 05:00:44.970,42092.83731116779,793073963141.4371,793073963141.4371
1849,2021-08-01 04:03:17.278,42628.49954429797,800203274679.1918,800203274679.1918
1848,2021-08-01 03:00:32.879,41809.25264106414,784877783211.4849,784877783211.4849
1847,2021-08-01 02:00:47.033,41753.79082592481,784165337810.0361,784165337810.0361
1846,2021-08-01 01:00:07.338,41744.099771490844,776966718002.2092,776966718002.2092
1845,2021-08-01 00:02:31.813,41699.53664059153,784039345926.1898,784039345926.1898
1844,2021-07-31 23:02:45.245,41874.17704027215,786087678396.3374,786087678396.3374
1843,2021-07-31 22:01:18.814,41906.23384381896,786688169238.0328,786688169238.0328
1842,2021-07-31 21:00:47.659,41762.883312140184,784680917372.2877,784680917372.2877
1841,2021-07-31 20:01:05.887,41319.56220359949,776784460611.3263,776784460611.3263
1840,2021-07-31 19:01:08.534,41423.145857328076,777714583593.2167,777714583593.2167
1839,2021-07-31 18:01:47.736,41192.33217594151,773278648193.3192,773278648193.3192
1838,2021-07-31 17:01:28.893,41346.20259314532,776166419904.4963,776166419904.4963
1837,2021-07-31 16:01:17.100,41581.643196047306,780247270887.2462,780247270887.2462
1836,2021-07-31 15:01:22.658,41343.36550826602,775118655743.6454,775118655743.6454
1835,2021-07-31 14:01:22.549,41400.1323141481,776927970569.9911,776927970569.9911
1834,2021-07-31 13:01:18.036,41620.635850103994,780610203908.9615,780610203908.9615
1833,2021-07-31 12:03:14.947,41616.37659752997,781935285510.8994,781935285510.8994
1832,2021-07-31 11:01:16.880,41833.50167668193,785537412061.6868,785537412061.6868
1831,2021-07-31 10:00:59.817,41604.461551813714,780169180895.98,780169180895.98
1830,2021-07-31 09:02:51.339,41747.291879250835,783492506439.6204,783492506439.6204
1829,2021-07-31 08:01:38.797,41565.91606277858,780275376330.4795,780275376330.4795
1828,2021-07-31 07:00:35.320,41520.49830843448,779426926002.9967,779426926002.9967
1827,2021-07-31 06:02:24.358,41504.12575592664,778981908715.3221,778981908715.3221
1826,2021-07-31 05:00:17.609,41737.861933677195,783205169109.4678,783205169109.4678
1825,2021-07-31 04:00:39.732,41863.92900295923,785863592541.029,785863592541.029
1824,2021-07-31 03:02:18.324,41945.63049710168,788342297459.8481,788342297459.8481
1823,2021-07-31 02:01:16.796,41964.84067260923,787753204142.1676,787753204142.1676
1822,2021-07-31 01:01:19.289,41937.33418368608,784618278730.0905,784618278730.0905
1821,2021-07-31 00:01:14.746,41936.261478677225,786531956383.648,786531956383.648
1820,2021-07-30 23:00:35.588,41314.594011945155,773918841810.5002,773918841810.5002
1819,2021-07-30 22:00:38.233,41780.30420938383,784283659860.52,784283659860.52
1818,2021-07-30 21:02:15.668,40918.293110812105,764088311618.9332,764088311618.9332
1817,2021-07-30 20:01:45.162,39563.836399000225,739435059470.0824,739435059470.0824
1816,2021-07-30 19:00:24.661,39109.09181421127,735465307811.4282,735465307811.4282
1815,2021-07-30 18:00:12.594,39046.89081251978,732574223020.3258,732574223020.3258
1814,2021-07-30 17:02:30.133,39006.50714589519,732815932560.4567,732815932560.4567
1813,2021-07-30 16:00:59.109,39095.20756248852,733622271717.2538,733622271717.2538
1812,2021-07-30 15:02:27.732,39035.30985924391,732987298518.6627,732987298518.6627
1811,2021-07-30 14:00:04.480,38957.86873202751,731478561588.8151,731478561588.8151
1810,2021-07-30 13:02:18.463,38805.89782743138,729643605876.529,729643605876.529
1809,2021-07-30 12:00:52.468,38789.82570777125,729134447851.825,729134447851.825
1808,2021-07-30 11:00:53.740,38950.02549328019,731158187324.6637,731158187324.6637
1807,2021-07-30 10:01:13.293,38681.764210954556,726098528611.7849,726098528611.7849
1806,2021-07-30 09:01:07.664,38909.40426718612,733029858668.4866,733029858668.4866
1805,2021-07-30 08:01:53.572,39781.78094875293,746743293025.8889,746743293025.8889
1804,2021-07-30 07:01:32.443,39826.26788181563,747604599574.8702,747604599574.8702
1803,2021-07-30 06:01:10.544,39724.827215039215,745793372832.1393,745793372832.1393
1802,2021-07-30 05:01:58.680,39704.34729299916,745283593002.1947,745283593002.1947
1801,2021-07-30 04:02:56.038,39967.381433383845,750311420016.8444,750311420016.8444
1800,2021-07-30 03:03:11.784,40023.81107477142,751355448823.5837,751355448823.5837
1799,2021-07-30 02:01:08.550,40101.45891910641,752051621077.9656,752051621077.9656
1798,2021-07-30 01:01:27.543,39945.38746787706,749794782430.8577,749794782430.8577
1797,2021-07-30 00:01:25.544,39977.75693922764,750407963580.4731,750407963580.4731
1796,2021-07-29 23:00:48.897,39838.6221249737,748040028888.0724,748040028888.0724
1795,2021-07-29 22:01:00.613,39564.840253704555,742654287002.257,742654287002.257
1794,2021-07-29 21:00:33.942,39764.044897266795,746661816945.6138,746661816945.6138
1793,2021-07-29 20:01:51.749,39725.4789623634,742269550155.7208,742269550155.7208
1792,2021-07-29 19:00:21.483,39476.953675657656,740578882057.9376,740578882057.9376
1791,2021-07-29 18:01:08.085,39852.1528877297,746575015563.1558,746575015563.1558
1790,2021-07-29 17:01:33.281,39765.78033491,746415626620.3612,746415626620.3612
1789,2021-07-29 16:00:01.667,39945.981398480195,750789396549.0511,750789396549.0511
1788,2021-07-29 15:02:25.276,39921.797825258,749341127584.6034,749341127584.6034
1787,2021-07-29 14:02:05.442,39876.15577991498,749158922162.6565,749158922162.6565
1786,2021-07-29 13:03:00.839,39740.83614408671,745899059047.9701,745899059047.9701
1785,2021-07-29 12:01:18.229,39659.51820341666,744412131141.996,744412131141.996
1784,2021-07-29 11:00:10.434,40116.34699376695,753928866024.069,753928866024.069
1783,2021-07-29 10:01:40.128,40616.613873363596,762373070687.3712,762373070687.3712
1782,2021-07-29 09:01:20.800,40017.77062972872,751264397632.5886,751264397632.5886
1781,2021-07-29 08:00:41.250,40000.824366632034,750812473299.8557,750812473299.8557
1780,2021-07-29 07:01:22.115,40031.82873267897,751413876830.9554,751413876830.9554
1779,2021-07-29 06:01:25.294,40173.839656605036,753250709611.0177,753250709611.0177
1778,2021-07-29 05:00:57.660,40160.85590008955,753091988654.5422,753091988654.5422
1777,2021-07-29 04:01:15.339,39680.283235128205,744780000220.1729,744780000220.1729
1776,2021-07-29 03:02:20.674,39901.779374393984,749087430805.6462,749087430805.6462
1775,2021-07-29 02:01:46.872,39692.152525704005,743732120403.7306,743732120403.7306
1774,2021-07-29 01:00:40.235,39760.47858861325,751371299910.5153,751371299910.5153
1773,2021-07-29 00:00:23.553,40031.19824444798,751371299910.5153,751371299910.5153
1772,2021-07-28 23:01:38.279,39752.00398813865,746129214055.7672,746129214055.7672
1771,2021-07-28 22:02:14.355,40187.29458884765,752246666330.72,752246666330.72
1770,2021-07-28 21:02:03.956,40081.570499394125,752312420777.2013,752312420777.2013
1769,2021-07-28 20:01:07.728,40410.51017604738,758306420751.8856,758306420751.8856
1768,2021-07-28 19:00:01.146,40840.142596120655,746357500859.4017,746357500859.4017
1767,2021-07-28 18:01:45.553,38457.39944860085,721823005443.7589,721823005443.7589
1766,2021-07-28 17:00:28.115,39992.72687640625,750638967928.5701,750638967928.5701
1765,2021-07-28 16:00:39.736,39756.4612267934,746493525919.0266,746493525919.0266
1764,2021-07-28 15:01:44.909,39493.698279865406,743063835819.732,743063835819.732
1763,2021-07-28 14:00:08.709,39520.79058417729,741777298066.0647,741777298066.0647
1762,2021-07-28 13:01:18.395,39666.4395760909,744918705244.0948,744918705244.0948
1761,2021-07-28 12:02:35.723,40780.77957614079,765929793673.24,765929793673.24
1760,2021-07-28 11:02:43.128,40192.36235006664,754374950492.984,754374950492.984
1759,2021-07-28 10:00:25.737,39830.67723351484,747602727068.8307,747602727068.8307
1758,2021-07-28 09:02:05.798,39512.86456257924,741324214775.1707,741324214775.1707
1757,2021-07-28 08:01:14.336,39927.007254017924,749389999150.6624,749389999150.6624
1756,2021-07-28 07:01:35.343,39377.92807162509,740025525658.6757,740025525658.6757
1755,2021-07-28 06:00:53.273,40065.83892536083,751993206642.2451,751993206642.2451
1754,2021-07-28 05:00:02.938,39773.54171647967,745532707429.9032,745532707429.9032
1753,2021-07-28 04:02:20.845,39731.45259646625,751807661268.3212,751807661268.3212
1752,2021-07-28 03:00:10.000,39891.519371217604,748557334346.5458,748557334346.5458
1751,2021-07-28 02:01:26.896,39850.20218419877,748113441700.4291,748113441700.4291
1750,2021-07-28 01:00:31.895,39123.753751063196,734301997027.5798,734301997027.5798
1749,2021-07-28 00:00:59.086,39076.59377063225,732311951673.3547,732311951673.3547
1748,2021-07-27 23:01:16.003,39265.54228869781,736957693520.6625,736957693520.6625
1747,2021-07-27 22:01:07.008,38267.710998321556,718229676863.8141,718229676863.8141
1746,2021-07-27 21:03:04.941,38078.87846278329,715024902953.8741,715024902953.8741
1745,2021-07-27 20:01:01.197,38056.914673895844,714269033812.8777,714269033812.8777
1744,2021-07-27 19:00:29.132,38001.26919978973,715347758323.6965,715347758323.6965
1743,2021-07-27 18:01:30.262,37834.076178031064,710083864649.3204,710083864649.3204
1742,2021-07-27 17:01:02.919,37691.22101088084,710706009625.257,710706009625.257
1741,2021-07-27 16:02:52.800,38195.58177961262,715577741754.6956,715577741754.6956
1740,2021-07-27 15:00:43.144,38147.613972103834,716267727908.99,716267727908.99
1739,2021-07-27 14:00:09.817,38693.71252949519,726210832477.8087,726210832477.8087
1738,2021-07-27 13:00:30.402,38642.00898678301,724514721127.2997,724514721127.2997
1737,2021-07-27 12:02:54.383,38146.7780777746,716067968147.4506,716067968147.4506
1736,2021-07-27 11:01:23.906,37806.59645355601,705977660709.0425,705977660709.0425
1735,2021-07-27 10:00:46.957,37507.766061602175,703945978490.7458,703945978490.7458
1734,2021-07-27 09:02:31.488,37321.58415379447,700831960731.0629,700831960731.0629
1733,2021-07-27 08:00:33.041,36973.08872011078,693070859543.7709,693070859543.7709
1732,2021-07-27 07:01:06.377,36982.80509098118,694089328787.39,694089328787.39
1731,2021-07-27 06:02:59.934,37156.29712281256,697297016860.4247,697297016860.4247
1730,2021-07-27 05:01:20.036,37179.89530910283,697785062261.552,697785062261.552
1729,2021-07-27 04:01:48.281,36890.35822260365,690912607017.9905,690912607017.9905
1728,2021-07-27 03:00:54.942,36547.97726834441,688206555089.2941,688206555089.2941
1727,2021-07-27 02:02:56.223,36986.68069043319,694248059560.9375,694248059560.9375
1726,2021-07-27 01:02:10.286,37385.81365313333,701039861923.0902,701039861923.0902
1725,2021-07-27 00:02:17.670,37226.65332404864,698654120074.028,698654120074.028
1724,2021-07-26 23:01:14.993,37413.73677140341,701782668309.3649,701782668309.3649
1723,2021-07-26 22:01:32.558,37230.71787479864,698746226547.2186,698746226547.2186
1722,2021-07-26 21:01:10.433,37587.10337061645,743297629317.7163,743297629317.7163
1721,2021-07-26 20:01:19.842,39580.47948944336,743297629317.7163,743297629317.7163
1720,2021-07-26 19:02:10.343,39841.37026913555,747538939197.5043,747538939197.5043
1719,2021-07-26 18:02:59.119,39240.53669847888,736644819963.804,736644819963.804
1718,2021-07-26 17:00:59.280,39167.47926883704,735071750429.9723,735071750429.9723
1717,2021-07-26 16:01:18.319,38641.072316134705,724985032029.1024,724985032029.1024
1716,2021-07-26 15:02:21.179,38342.041130052734,719023603929.4657,719023603929.4657
1715,2021-07-26 14:00:25.111,38395.845376580975,720583929997.6495,720583929997.6495
1714,2021-07-26 13:01:54.320,38700.54318789168,726300563211.9984,726300563211.9984
1713,2021-07-26 12:00:03.222,38429.726790135705,722028540140.1364,722028540140.1364
1712,2021-07-26 11:01:58.275,38503.96909845663,722607838467.6454,722607838467.6454
1711,2021-07-26 10:01:17.875,38138.602199484536,715749378192.3876,715749378192.3876
1710,2021-07-26 09:00:41.102,38156.84383137553,715220633952.6952,715220633952.6952
