,market_tms,btc_price,mkt_cap,total_volumes
1835,2021-07-31 13:01:58.520,0.059150354190982,6915498.553707247,6915498.553707247
1834,2021-07-31 12:03:15.167,0.05922190429847601,6933731.135957242,6933731.135957242
1833,2021-07-31 11:00:57.943,0.058981391148838005,6909674.297375488,6909674.297375488
1832,2021-07-31 10:00:56.258,0.059017430858997,6889509.236543214,6889509.236543214
1831,2021-07-31 09:01:55.891,0.05905591226258201,6901552.0981965,6901552.0981965
1830,2021-07-31 08:01:45.465,0.058730004955981005,6878416.580597532,6878416.580597532
1829,2021-07-31 07:00:36.767,0.05863329299059301,6854898.750337085,6854898.750337085
1828,2021-07-31 06:02:24.293,0.05859688968044201,6850607.733799185,6850607.733799185
1827,2021-07-31 05:00:18.612,0.05864599993231501,6854379.125713377,6854379.125713377
1826,2021-07-31 04:00:24.735,0.058809336929138006,6875907.415802649,6875907.415802649
1825,2021-07-31 03:02:20.756,0.05868408414487,6870734.0290417485,6870734.0290417485
1824,2021-07-31 02:01:54.454,0.058712050149579004,6860885.888077551,6860885.888077551
1823,2021-07-31 01:01:18.925,0.05878013567983201,6853766.2620929135,6853766.2620929135
1822,2021-07-31 00:01:13.473,0.058934821967992004,6887237.777615293,6887237.777615293
1821,2021-07-30 23:00:55.553,0.059257614935459,6930968.325990648,6930968.325990648
1820,2021-07-30 22:01:46.710,0.060016338108349006,7018818.260220774,7018818.260220774
1819,2021-07-30 21:01:14.064,0.05991916736693201,7001224.327934273,7001224.327934273
1818,2021-07-30 20:01:43.379,0.060270508511184005,7027983.492947033,7027983.492947033
1817,2021-07-30 19:00:19.773,0.06002317355344901,7022370.643940378,7022370.643940378
1816,2021-07-30 18:01:38.151,0.060302029278737006,7036374.063387497,7036374.063387497
1815,2021-07-30 17:02:29.792,0.059945769610174005,7019711.025904876,7019711.025904876
1814,2021-07-30 16:00:57.578,0.060083046911118,7027286.024324446,7027286.024324446
1813,2021-07-30 15:02:25.388,0.059940845974052005,7014159.976814668,7014159.976814668
1812,2021-07-30 14:00:05.889,0.060326743149849,7060243.083401853,7060243.083401853
1811,2021-07-30 13:01:46.689,0.06028755307426,7053238.021129208,7053238.021129208
1810,2021-07-30 12:00:52.316,0.060416233469812,7067418.958399935,7067418.958399935
1809,2021-07-30 11:00:43.946,0.06070803450842,7095012.591946185,7095012.591946185
1808,2021-07-30 10:01:19.948,0.060568552841645,7058144.635565414,7058144.635565414
